Row1,Row2
-65.80886,-68.41796
-66.12762,-67.62329
-66.83913,-66.99631
-67.26959,-66.72313
-67.43976,-66.6671
-68.20406,-66.68334
-69.66558,-66.36526
-69.40968,-65.62025
-68.55313,-65.68743
-69.85731,-65.97962
-71.40511,-64.75302
-70.37694,-63.89091
-69.84337,-64.43944
-71.54974,-64.08789
-73.37477,-62.89473
-72.29179,-63.03743
-70.63038,-63.48992
-71.37644,-62.56077
-73.58428,-61.83055
-73.82505,-62.24034
-74.07707,-62.55973
-76.66772,-62.09772
-77.58517,-61.98542
-76.70944,-62.84749
-78.92716,-63.45717
-82.3672,-62.69069
-82.01644,-61.99772
-81.30014,-62.40747
-82.21897,-63.11791
-88.35739,-63.53871
-99.6352,-63.9901
-94.26202,-64.12013
-81.15396,-63.91316
-86.06267,-64.29781
-85.13358,-65.41752
-81.19727,-66.5964
-83.65827,-67.17324
-81.83777,-67.03954
-78.12989,-67.49869
-77.20511,-69.56394
-77.79783,-71.57785
-75.37778,-72.24234
-71.98993,-74.02088
-71.97525,-76.05128
-74.35328,-75.26707
-73.74216,-75.68085
-72.28347,-79.68669
-73.27998,-85.31377
-72.70034,-96.63936
-70.27918,-94.36879
-70.24335,-91.01042
-71.26431,-84.42262
-70.12214,-78.94574
-68.69488,-78.24653
-68.15061,-77.66308
-67.48719,-74.47055
-66.56658,-72.02288
-65.77974,-70.68696
-65.62487,-70.28724
-66.00102,-70.45887
-65.54069,-69.03661
-64.72641,-67.34323
-65.27046,-67.72116
-66.21386,-68.0868
-65.8232,-66.58559
-65.42293,-66.26036
-65.66609,-67.4425
-65.87755,-67.21016
-66.40137,-66.12799
-66.92563,-66.07279
-66.7107,-66.27452
-66.67857,-65.8433
-66.66591,-64.98521
-65.89614,-64.31778
-65.47464,-64.18434
-65.58164,-63.7622
-65.23017,-62.83296
-64.58767,-62.40886
-63.87417,-62.10668
-63.49697,-61.31207
-64.45495,-61.18244
-65.71368,-62.07373
-65.04003,-62.58473
-64.2529,-62.32293
-64.9119,-62.23998
-65.59719,-62.52691
-65.46994,-62.80352
-65.34191,-62.5127
-65.22244,-61.90524
-64.96711,-61.91859
-64.6039,-62.05183
-64.29979,-61.25547
-64.54551,-60.39523
-64.61162,-60.09994
